Scenario,Weight,Algorithm,Time (ms),Expansions,Generations,Open,Quality,Path
1/10 (416) to (318),1,A*,0.050792,3,14,11,9.94113,24
1/10 (416) to (318),1,CA*,0.014875,3,7,4,9.94113,24
1/10 (416) to (318),2,A*,0.02075,3,14,11,9.94113,24
1/10 (416) to (318),2,CA*,0.013083,3,7,4,9.94113,24
1/10 (416) to (318),5,A*,0.020125,3,14,11,9.94113,24
1/10 (416) to (318),5,CA*,0.012916,3,7,4,9.94113,24
1/10 (416) to (318),10,A*,0.019542,3,14,11,9.94113,24
1/10 (416) to (318),10,CA*,0.012542,3,7,4,9.94113,24
2/10 (1322) to (1425),1,A*,0.026333,4,17,13,9.95837,34
2/10 (1322) to (1425),1,CA*,0.018959,4,10,6,9.95837,34
2/10 (1322) to (1425),2,A*,0.025833,4,17,13,9.95837,34
2/10 (1322) to (1425),2,CA*,0.017917,4,10,6,9.95837,34
2/10 (1322) to (1425),5,A*,0.030542,4,17,13,9.95837,34
2/10 (1322) to (1425),5,CA*,0.020709,4,10,6,9.95837,34
2/10 (1322) to (1425),10,A*,0.026958,4,17,13,9.95837,34
2/10 (1322) to (1425),10,CA*,0.019333,4,10,6,9.95837,34
3/10 (3521) to (3523),1,A*,0.0135,3,7,4,10,20
3/10 (3521) to (3523),1,CA*,0.008833,3,4,1,10,20
3/10 (3521) to (3523),2,A*,0.013,3,7,4,10,20
3/10 (3521) to (3523),2,CA*,0.008334,3,4,1,10,20
3/10 (3521) to (3523),5,A*,0.012333,3,7,4,10,20
3/10 (3521) to (3523),5,CA*,0.0085,3,4,1,10,20
3/10 (3521) to (3523),10,A*,0.01275,3,7,4,10,20
3/10 (3521) to (3523),10,CA*,0.008209,3,4,1,10,20
4/10 (2921) to (1014),1,A*,0.137083,24,67,39,9.95457,218
4/10 (2921) to (1014),1,CA*,0.10425,24,52,25,9.95457,218
4/10 (2921) to (1014),2,A*,0.113417,20,61,41,10.3199,226
4/10 (2921) to (1014),2,CA*,0.085416,20,45,25,10.3199,226
4/10 (2921) to (1014),5,A*,0.11125,20,61,41,10.3199,226
4/10 (2921) to (1014),5,CA*,0.084833,20,45,25,10.3199,226
4/10 (2921) to (1014),10,A*,0.11,20,61,41,10.3199,226
4/10 (2921) to (1014),10,CA*,0.086583,20,45,25,10.3199,226
5/10 (726) to (2521),1,A*,0.122125,19,67,48,9.96459,200
5/10 (726) to (2521),1,CA*,0.109958,19,55,36,9.96459,200
5/10 (726) to (2521),2,A*,0.157166,19,67,48,9.96459,200
5/10 (726) to (2521),2,CA*,0.116166,19,55,36,9.96459,200
5/10 (726) to (2521),5,A*,0.125458,19,67,48,9.96459,200
5/10 (726) to (2521),5,CA*,0.104792,19,55,36,9.96459,200
5/10 (726) to (2521),10,A*,0.125333,19,67,48,9.96459,200
5/10 (726) to (2521),10,CA*,0.103209,19,55,36,9.96459,200
6/10 (2715) to (1623),1,A*,0.23475,49,96,30,9.46536,220
6/10 (2715) to (1623),1,CA*,0.002708,1,1,0,0,0
6/10 (2715) to (1623),2,A*,0.116125,23,56,32,9.46536,220
6/10 (2715) to (1623),2,CA*,0.003083,1,1,0,0,0
6/10 (2715) to (1623),5,A*,0.1145,22,55,33,9.46536,220
6/10 (2715) to (1623),5,CA*,0.002208,1,1,0,0,0
6/10 (2715) to (1623),10,A*,0.110542,22,55,33,9.46536,220
6/10 (2715) to (1623),10,CA*,0.002083,1,1,0,0,0
7/10 (3412) to (626),1,A*,0.261542,53,108,42,9.81543,372
7/10 (3412) to (626),1,CA*,0.243042,51,94,34,9.81543,372
7/10 (3412) to (626),2,A*,0.207458,36,89,53,10.0265,380
7/10 (3412) to (626),2,CA*,0.164458,36,74,38,10.0265,380
7/10 (3412) to (626),5,A*,0.202583,35,89,54,10.0265,380
7/10 (3412) to (626),5,CA*,0.156667,35,74,39,10.0265,380
7/10 (3412) to (626),10,A*,0.197417,35,89,54,10.0265,380
7/10 (3412) to (626),10,CA*,0.15475,35,74,39,10.0265,380
8/10 (1012) to (3211),1,A*,1.65283,322,584,60,9.63823,350
8/10 (1012) to (3211),1,CA*,1.76146,302,470,49,9.80346,356
8/10 (1012) to (3211),2,A*,1.00438,182,385,57,9.63823,350
8/10 (1012) to (3211),2,CA*,0.886333,185,312,46,9.80346,356
8/10 (1012) to (3211),5,A*,1.05946,177,323,53,10.905,396
8/10 (1012) to (3211),5,CA*,0.82825,178,283,39,10.189,370
8/10 (1012) to (3211),10,A*,0.852208,172,314,55,10.905,396
8/10 (1012) to (3211),10,CA*,0.787209,171,275,44,10.905,396
9/10 (623) to (3312),1,A*,1.65167,285,590,67,9.82268,356
9/10 (623) to (3312),1,CA*,1.46946,274,500,55,9.82268,356
9/10 (623) to (3312),2,A*,0.893458,146,342,99,11.1471,404
9/10 (623) to (3312),2,CA*,0.857791,145,272,71,10.9264,396
9/10 (623) to (3312),5,A*,1.0295,162,330,89,11.5334,418
9/10 (623) to (3312),5,CA*,0.854625,165,281,60,11.1471,404
9/10 (623) to (3312),10,A*,0.953208,165,333,91,11.5334,418
9/10 (623) to (3312),10,CA*,0.868541,169,285,60,11.1471,404
10/10 (93) to (513),1,A*,0.076667,11,34,23,9.47508,116
10/10 (93) to (513),1,CA*,0.060875,11,27,16,9.47508,116
10/10 (93) to (513),2,A*,0.073083,11,34,23,9.47508,116
10/10 (93) to (513),2,CA*,0.108334,11,27,16,9.47508,116
10/10 (93) to (513),5,A*,0.078125,11,34,23,9.47508,116
10/10 (93) to (513),5,CA*,0.063042,11,27,16,9.47508,116
10/10 (93) to (513),10,A*,0.07375,11,34,23,9.47508,116
10/10 (93) to (513),10,CA*,0.0605,11,27,16,9.47508,116
1/10 (7424) to (7327),1,A*,0.034541,4,17,13,9.95837,34
1/10 (7424) to (7327),1,CA*,0.021583,4,10,6,9.95837,34
1/10 (7424) to (7327),2,A*,0.02825,4,17,13,9.95837,34
1/10 (7424) to (7327),2,CA*,0.020208,4,10,6,9.95837,34
1/10 (7424) to (7327),5,A*,0.027541,4,17,13,9.95837,34
1/10 (7424) to (7327),5,CA*,0.019541,4,10,6,9.95837,34
1/10 (7424) to (7327),10,A*,0.026833,4,17,13,9.95837,34
1/10 (7424) to (7327),10,CA*,0.01925,4,10,6,9.95837,34
2/10 (186110) to (188113),1,A*,0.029084,4,19,15,9.92575,38
2/10 (186110) to (188113),1,CA*,0.019667,4,10,6,9.92575,38
2/10 (186110) to (188113),2,A*,0.028458,4,19,15,9.92575,38
2/10 (186110) to (188113),2,CA*,0.018791,4,10,6,9.92575,38
2/10 (186110) to (188113),5,A*,0.02775,4,19,15,9.92575,38
2/10 (186110) to (188113),5,CA*,0.0185,4,10,6,9.92575,38
2/10 (186110) to (188113),10,A*,0.027459,4,19,15,9.92575,38
2/10 (186110) to (188113),10,CA*,0.017208,4,10,6,9.92575,38
3/10 (78156) to (77154),1,A*,0.019042,3,14,11,9.94113,24
3/10 (78156) to (77154),1,CA*,0.013833,3,7,4,9.94113,24
3/10 (78156) to (77154),2,A*,0.01875,3,14,11,9.94113,24
3/10 (78156) to (77154),2,CA*,0.012292,3,7,4,9.94113,24
3/10 (78156) to (77154),5,A*,0.019083,3,14,11,9.94113,24
3/10 (78156) to (77154),5,CA*,0.01275,3,7,4,9.94113,24
3/10 (78156) to (77154),10,A*,0.028542,3,14,11,9.94113,24
3/10 (78156) to (77154),10,CA*,0.013875,3,7,4,9.94113,24
4/10 (1086) to (16785),1,A*,13.7353,2396,5760,340,9.94715,1846
4/10 (1086) to (16785),1,CA*,10.8471,2370,4350,276,9.94715,1846
4/10 (1086) to (16785),2,A*,2.56146,497,1468,369,10.292,1910
