Scenario,Weight,Algorithm,Time (ms),Expansions,Generations,Open,Quality,Path
1/10 (406344) to (409346),1,A*,0.086625,4,19,15,9.92575,38
1/10 (406344) to (409346),1,CA*,0.038916,4,10,6,9.92575,38
1/10 (406344) to (409346),2,A*,0.038333,4,19,15,9.92575,38
1/10 (406344) to (409346),2,CA*,0.025458,4,10,6,9.92575,38
1/10 (406344) to (409346),5,A*,0.034083,4,19,15,9.92575,38
1/10 (406344) to (409346),5,CA*,0.023042,4,10,6,9.92575,38
1/10 (406344) to (409346),10,A*,0.032,4,19,15,9.92575,38
1/10 (406344) to (409346),10,CA*,0.036625,4,10,6,9.92575,38
2/10 (297142) to (300141),1,A*,0.034375,4,17,13,9.95837,34
2/10 (297142) to (300141),1,CA*,0.024666,4,10,6,9.95837,34
2/10 (297142) to (300141),2,A*,0.029792,4,17,13,9.95837,34
2/10 (297142) to (300141),2,CA*,0.022541,4,10,6,9.95837,34
2/10 (297142) to (300141),5,A*,0.026458,4,17,13,9.95837,34
2/10 (297142) to (300141),5,CA*,0.020625,4,10,6,9.95837,34
2/10 (297142) to (300141),10,A*,0.038125,4,17,13,9.95837,34
2/10 (297142) to (300141),10,CA*,0.020416,4,10,6,9.95837,34
3/10 (285403) to (285404),1,A*,0.0145,2,9,7,10,10
3/10 (285403) to (285404),1,CA*,0.009375,2,2,0,10,10
3/10 (285403) to (285404),2,A*,0.014292,2,9,7,10,10
3/10 (285403) to (285404),2,CA*,0.006375,2,2,0,10,10
3/10 (285403) to (285404),5,A*,0.013,2,9,7,10,10
3/10 (285403) to (285404),5,CA*,0.008333,2,2,0,10,10
3/10 (285403) to (285404),10,A*,0.021125,2,9,7,10,10
3/10 (285403) to (285404),10,CA*,0.0085,2,2,0,10,10
4/10 (332281) to (58347),1,A*,583.384,84886,145882,1180,9.8682,4928
4/10 (332281) to (58347),1,CA*,513.697,84630,141896,1134,9.8682,4928
4/10 (332281) to (58347),2,A*,134.344,25221,49354,1182,10.1566,5072
4/10 (332281) to (58347),2,CA*,149.789,29570,54496,935,10.485,5236
4/10 (332281) to (58347),5,A*,36.3121,7193,15193,1231,10.8895,5438
4/10 (332281) to (58347),5,CA*,35.2983,7211,13217,831,10.8855,5436
4/10 (332281) to (58347),10,A*,25.6594,5252,11002,1254,10.9455,5466
4/10 (332281) to (58347),10,CA*,24.6399,5262,9624,831,10.9575,5472
5/10 (56665) to (474428),1,A*,375.86,56970,126712,1181,9.93149,4970
5/10 (56665) to (474428),1,CA*,321.296,56854,105189,1010,9.93149,4970
5/10 (56665) to (474428),2,A*,78.9525,13527,33154,1248,10.3591,5184
5/10 (56665) to (474428),2,CA*,68.9571,13485,25954,893,10.3431,5176
5/10 (56665) to (474428),5,A*,33.7702,6741,15154,1358,10.8347,5422
5/10 (56665) to (474428),5,CA*,31.7115,6791,12741,898,10.8587,5434
5/10 (56665) to (474428),10,A*,11.4622,2300,5677,1224,11.634,5822
5/10 (56665) to (474428),10,CA*,10.5854,2297,4676,764,11.5781,5794
6/10 (504485) to (260478),1,A*,386.487,59757,102901,668,9.94221,5004
6/10 (504485) to (260478),1,CA*,360.858,59722,90647,663,9.94221,5004
6/10 (504485) to (260478),2,A*,374.147,41440,87585,898,10.9118,5492
6/10 (504485) to (260478),2,CA*,253.956,41308,67720,822,10.88,5476
6/10 (504485) to (260478),5,A*,122.435,20398,38305,865,11.039,5556
6/10 (504485) to (260478),5,CA*,116.154,20351,35549,674,10.9754,5524
6/10 (504485) to (260478),10,A*,102.888,18173,33815,882,11.0787,5576
6/10 (504485) to (260478),10,CA*,96.2777,18151,31494,696,11.0151,5544
7/10 (52291) to (749435),1,A*,1283.68,142651,306958,2194,9.91909,9924
7/10 (52291) to (749435),1,CA*,1175.96,142649,268219,2024,9.91909,9924
7/10 (52291) to (749435),2,A*,581.15,80335,180066,2219,11.1185,11124
7/10 (52291) to (749435),2,CA*,480.278,80056,141775,1624,11.0785,11084
7/10 (52291) to (749435),5,A*,613.523,85817,188783,2231,11.7182,11724
7/10 (52291) to (749435),5,CA*,534.039,86251,156674,1640,11.6862,11692
7/10 (52291) to (749435),10,A*,628.614,88674,185090,2285,12.3539,12360
7/10 (52291) to (749435),10,CA*,559.349,88749,160195,1712,12.3299,12336
8/10 (766443) to (5451),1,A*,40.8086,7980,18478,1305,9.9246,9928
8/10 (766443) to (5451),1,CA*,34.7167,7957,13896,923,9.9246,9928
8/10 (766443) to (5451),2,A*,40.5308,7212,15862,1329,10.1325,10136
8/10 (766443) to (5451),2,CA*,34.0155,7186,12536,901,10.1005,10104
8/10 (766443) to (5451),5,A*,18.4988,4069,7709,1634,10.2785,10282
8/10 (766443) to (5451),5,CA*,17.2985,4070,6972,1117,10.2545,10258
8/10 (766443) to (5451),10,A*,15.6808,3586,6617,1655,10.2785,10282
8/10 (766443) to (5451),10,CA*,14.6385,3590,5956,1119,10.2545,10258
9/10 (1319) to (76343),1,A*,65.3054,12125,24331,1689,9.93479,9936
9/10 (1319) to (76343),1,CA*,57.0078,12083,22985,1313,9.93479,9936
9/10 (1319) to (76343),2,A*,32.3495,5988,15039,1893,10.7187,10720
9/10 (1319) to (76343),2,CA*,27.8325,5979,10989,1250,10.7027,10704
9/10 (1319) to (76343),5,A*,22.0575,4169,9641,2065,11.0926,11094
9/10 (1319) to (76343),5,CA*,18.6447,4168,7906,1373,11.0607,11062
9/10 (1319) to (76343),10,A*,18.6715,3911,8838,2081,11.0926,11094
9/10 (1319) to (76343),10,CA*,17.1947,3913,7435,1380,11.0607,11062
10/10 (189230) to (26026),1,A*,135.23,25006,45136,871,9.93409,3732
10/10 (189230) to (26026),1,CA*,128.225,24872,41258,698,9.93409,3732
10/10 (189230) to (26026),2,A*,102.358,18581,36740,985,10.0619,3780
10/10 (189230) to (26026),2,CA*,96.964,18486,32001,791,10.0406,3772
10/10 (189230) to (26026),5,A*,65.4505,12191,26824,915,10.344,3886
10/10 (189230) to (26026),5,CA*,60.0793,12196,22592,700,10.2961,3868
10/10 (189230) to (26026),10,A*,57.9732,11308,23047,930,10.4505,3926
10/10 (189230) to (26026),10,CA*,55.7154,11347,20735,708,10.3493,3888
1/10 (155284) to (153282),1,A*,0.034083,3,14,11,9.89949,28
1/10 (155284) to (153282),1,CA*,0.019167,3,7,4,9.89949,28
1/10 (155284) to (153282),2,A*,0.024208,3,14,11,9.89949,28
1/10 (155284) to (153282),2,CA*,0.015125,3,7,4,9.89949,28
1/10 (155284) to (153282),5,A*,0.019041,3,14,11,9.89949,28
1/10 (155284) to (153282),5,CA*,0.0115,3,7,4,9.89949,28
1/10 (155284) to (153282),10,A*,0.018083,3,14,11,9.89949,28
1/10 (155284) to (153282),10,CA*,0.012292,3,7,4,9.89949,28
2/10 (45256) to (45057),1,A*,0.020083,3,14,11,9.94113,24
2/10 (45256) to (45057),1,CA*,0.019583,3,7,4,9.94113,24
2/10 (45256) to (45057),2,A*,0.021708,3,14,11,9.94113,24
2/10 (45256) to (45057),2,CA*,0.015583,3,7,4,9.94113,24
2/10 (45256) to (45057),5,A*,0.021792,3,14,11,9.94113,24
2/10 (45256) to (45057),5,CA*,0.012875,3,7,4,9.94113,24
2/10 (45256) to (45057),10,A*,0.020167,3,14,11,9.94113,24
2/10 (45256) to (45057),10,CA*,0.012375,3,7,4,9.94113,24
3/10 (2552) to (2524),1,A*,0.028417,4,19,15,9.92575,38
3/10 (2552) to (2524),1,CA*,0.017542,4,10,6,9.92575,38
3/10 (2552) to (2524),2,A*,0.027792,4,19,15,9.92575,38
3/10 (2552) to (2524),2,CA*,0.024167,4,10,6,9.92575,38
3/10 (2552) to (2524),5,A*,0.025958,4,19,15,9.92575,38
3/10 (2552) to (2524),5,CA*,0.017959,4,10,6,9.92575,38
3/10 (2552) to (2524),10,A*,0.026083,4,19,15,9.92575,38
3/10 (2552) to (2524),10,CA*,0.021459,4,10,6,9.92575,38
4/10 (484269) to (232461),1,A*,118.375,18775,34832,713,9.9462,3816
4/10 (484269) to (232461),1,CA*,101.691,18771,33768,630,9.9462,3816
4/10 (484269) to (232461),2,A*,37.5948,6666,16100,814,10.9679,4208
4/10 (484269) to (232461),2,CA*,31.007,6610,12451,531,10.9054,4184
4/10 (484269) to (232461),5,A*,17.6315,3170,8264,951,12.1513,4662
4/10 (484269) to (232461),5,CA*,15.2501,3104,6223,596,12.047,4622
4/10 (484269) to (232461),10,A*,10.4289,2093,5040,984,12.5109,4800
4/10 (484269) to (232461),10,CA*,9.529,2062,4177,613,12.3493,4738
5/10 (176137) to (356376),1,A*,93.7076,18279,33935,1002,9.89789,3784
5/10 (176137) to (356376),1,CA*,85.9912,18193,31077,831,9.89789,3784
5/10 (176137) to (356376),2,A*,12.8883,2519,6221,825,10.4943,4012
5/10 (176137) to (356376),2,CA*,11.1511,2519,4936,556,10.4734,4004
5/10 (176137) to (356376),5,A*,16.814,3511,8216,1071,11.3993,4358
5/10 (176137) to (356376),5,CA*,15.5091,3504,6696,704,11.2633,4306
5/10 (176137) to (356376),10,A*,17.9334,3718,8330,1099,11.6609,4458
5/10 (176137) to (356376),10,CA*,17.1184,3714,7023,715,11.4202,4366
6/10 (425425) to (200491),1,A*,108.277,20336,36458,662,9.90891,3764
6/10 (425425) to (200491),1,CA*,100.698,20261,32771,568,9.90891,3764
6/10 (425425) to (200491),2,A*,57.1897,10851,22790,736,10.4565,3972
6/10 (425425) to (200491),2,CA*,51.8503,10794,18771,540,10.3933,3948
6/10 (425425) to (200491),5,A*,22.27,4341,10063,857,11.6727,4434
6/10 (425425) to (200491),5,CA*,19.8362,4273,8170,598,11.6464,4424
6/10 (425425) to (200491),10,A*,16.7287,3462,7773,878,12.6415,4802
6/10 (425425) to (200491),10,CA*,15.1483,3422,6441,591,12.3414,4688
7/10 (46522) to (0483),1,A*,463.082,67953,125341,1171,9.89172,7480
7/10 (46522) to (0483),1,CA*,398.844,67948,121391,1036,9.89172,7480
7/10 (46522) to (0483),2,A*,72.7665,12905,30333,1630,10.7143,8102
7/10 (46522) to (0483),2,CA*,61.9186,12865,24566,1035,10.6931,8086
7/10 (46522) to (0483),5,A*,44.4605,8189,19896,1871,11.4813,8682
7/10 (46522) to (0483),5,CA*,39.8394,8128,15528,1121,11.4178,8634
7/10 (46522) to (0483),10,A*,36.3079,6812,15927,1904,12.8434,9712
7/10 (46522) to (0483),10,CA*,32.9768,6795,12929,1127,12.772,9658
8/10 (1742) to (454507),1,A*,407.258,57079,106032,1524,9.92566,7508
8/10 (1742) to (454507),1,CA*,312.453,57079,101646,1401,9.92566,7508
8/10 (1742) to (454507),2,A*,55.4478,10933,24214,1938,10.5787,8002
8/10 (1742) to (454507),2,CA*,47.7607,10879,21362,1248,10.547,7978
8/10 (1742) to (454507),5,A*,61.4116,10681,31127,2067,11.4195,8638
8/10 (1742) to (454507),5,CA*,50.9317,10683,21176,1262,11.3376,8576
8/10 (1742) to (454507),10,A*,65.3652,11508,33512,2112,11.5861,8764
8/10 (1742) to (454507),10,CA*,53.6942,11508,22799,1260,11.4433,8656
9/10 (037) to (460488),1,A*,282.155,45018,83146,1088,9.93055,7508
9/10 (037) to (460488),1,CA*,253.228,45016,80564,953,9.93055,7508
9/10 (037) to (460488),2,A*,29.8933,5514,13832,1839,10.6078,8020
9/10 (037) to (460488),2,CA*,24.8695,5483,10920,1159,10.5866,8004
9/10 (037) to (460488),5,A*,58.0242,10516,29080,2161,11.2797,8528
9/10 (037) to (460488),5,CA*,48.9854,10558,20474,1313,11.2188,8482
9/10 (037) to (460488),10,A*,59.7179,10931,30218,2073,11.3273,8564
9/10 (037) to (460488),10,CA*,50.2262,10929,21036,1207,11.1844,8456
10/10 (184417) to (26482),1,A*,1.38533,283,807,408,9.95004,1840
10/10 (184417) to (26482),1,CA*,1.1685,283,664,279,9.95004,1840
